cluster_id,cluster_basis,address,region,canonical_outlet_code,canonical_id,canonical_name,canonical_sales_count,canonical_amount_total,defunct_outlet_code,defunct_id,defunct_name,defunct_sales_count,defunct_amount_total,defunct_kiosks_count,notes
9,address,"ibis London Heathrow Airport, Bath Road, London, UK",United Kingdom,L7,ffae691d-3dfd-41fc-900a-5ea79ef0b879,Ibis Heathrow Airport,307,2897.78,,,,0,0,,
9,address,"ibis London Heathrow Airport, Bath Road, London, UK",United Kingdom,L7,ffae691d-3dfd-41fc-900a-5ea79ef0b879,Ibis Heathrow Airport,307,2897.78,L0,5b39e078-c6e0-4d1f-969a-4fe6ae9cfc0f,Ibis Heathrow Airport,60,591.06,1,
10,address,"Maldron Hotel Shoreditch, Paul Street, London, UK",United Kingdom,4R,e48fd3e4-2013-4065-ad97-ed18657d101e,Maldron Shoreditch,46,725.18,,,,0,0,,different normalised name across cluster
10,address,"Maldron Hotel Shoreditch, Paul Street, London, UK",United Kingdom,4R,e48fd3e4-2013-4065-ad97-ed18657d101e,Maldron Shoreditch,46,725.18,0Y,fe37b407-6e7a-458d-a2e2-f90ac50af496,Clayton London Wall,8,141.15,1,
11,address,"Manchester Central Convention Complex, Windmill Street, Manchester, UK",United Kingdom,J2,2f1cca34-5241-4f36-8cd6-74fd2daef65b,Manchester Central,8,38.08,,,,0,0,,
11,address,"Manchester Central Convention Complex, Windmill Street, Manchester, UK",United Kingdom,J2,2f1cca34-5241-4f36-8cd6-74fd2daef65b,Manchester Central,8,38.08,J1,f16595cb-0d51-499e-bac5-ef2c9f774cef,Manchester Central,6,51.67,1,
12,address,"Metrocentre, Gateshead, UK",United Kingdom,E3,f366ce21-9706-49dd-906f-e067d37971d1,Metrocentre,50,342.08,,,,0,0,,
12,address,"Metrocentre, Gateshead, UK",United Kingdom,E3,f366ce21-9706-49dd-906f-e067d37971d1,Metrocentre,50,342.08,E2,03255a73-8d07-466a-adda-acb104b0cf0d,Metrocentre,24,143.98,1,
13,address,"Radisson RED London Heathrow, Bath Road, Heathrow Boulevard, Sipson, West Drayton, UK",United Kingdom,K9,b3e3f77b-7eaf-4a52-a0f6-d6bf99f8b624,Radisson RED SSM,1093,10010.18,,,,0,0,,
13,address,"Radisson RED London Heathrow, Bath Road, Heathrow Boulevard, Sipson, West Drayton, UK",United Kingdom,K9,b3e3f77b-7eaf-4a52-a0f6-d6bf99f8b624,Radisson RED SSM,1093,10010.18,K6,544244fc-72c8-49ea-ad63-3b5610e416cd,Radisson RED SSM,1085,9794.02,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,,,,0,0,,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L1,c536837a-2f28-469a-b188-f72a03c4c681,Residence Inn by Marriott Kensington,6,79.75,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L2,929eb569-ab2c-4c09-bd7b-42fce060eec1,Residence Inn by Marriott Kensington,0,0,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L3,6fd30297-1bef-4647-8829-de730f0de9f4,Residence Inn by Marriott Kensington,2,7.83,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L4,c2ac3d29-8cfa-4f9c-9fbd-7c71ec18e284,Residence Inn by Marriott Kensington,2,7.82,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L5,4cb4a33d-c075-48d1-b595-e33a871b056b,Residence Inn by Marriott Kensington,10,147.64,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,L6,312356e2-63c6-43c2-b9fe-c1c68af5ec8a,Residence Inn by Marriott Kensington,18,279.94,1,
14,address,"Residence Inn London Kensington, Warwick Road, London, UK",United Kingdom,R1,db720bef-1e99-4cd7-a350-b34b28c0da1b,Residence Inn by Marriott Kensington,46,416.65,R0,28831543-4bbc-4fb3-835a-d2c17c54dd48,Residence Inn by Marriott Kensington,44,925.97,1,
15,address,"Sheraton Heathrow Hotel, Colnbrook By-Pass, Harmondsworth, West Drayton, UK",United Kingdom,S3,49a44ce1-77e4-45d5-b5dd-4737ecf94714,Sheraton Heathrow SSM,522,5547.98,,,,0,0,,different region between cluster members; different normalised name across cluster
15,address,"Sheraton Heathrow Hotel, Colnbrook By-Pass, Harmondsworth, West Drayton, UK",United Kingdom,S3,49a44ce1-77e4-45d5-b5dd-4737ecf94714,Sheraton Heathrow SSM,522,5547.98,1S,e944948e-14c6-4cc1-9b90-c1de9b10bfac,Hotel Zentral Castellana Norte,0,0,2,
16,address,"Sheraton Skyline London Heathrow, Heathrow Airport (LHR), Bath Road, Harlington, Hayes, UK",United Kingdom,4S,0af4a262-6fad-4ced-ab4f-f50dd92f428b,Sheraton Skyline SSM,384,4200.19,,,,0,0,,
16,address,"Sheraton Skyline London Heathrow, Heathrow Airport (LHR), Bath Road, Harlington, Hayes, UK",United Kingdom,4S,0af4a262-6fad-4ced-ab4f-f50dd92f428b,Sheraton Skyline SSM,384,4200.19,4K,7ec28668-71f6-43a3-9d50-d96ed1434a4d,Sheraton Skyline SSM,357,3719.86,1,
17,address,"St Giles London - A St Giles Hotel, Bedford Avenue, London, UK",United Kingdom,X9,001e7d22-9ef6-47ca-8c51-3997bfd50237,St Giles London,96,1563.54,,,,0,0,,
17,address,"St Giles London - A St Giles Hotel, Bedford Avenue, London, UK",United Kingdom,X9,001e7d22-9ef6-47ca-8c51-3997bfd50237,St Giles London,96,1563.54,KH,d7569ef0-d8d5-4662-b8aa-104f3c62bbc9,St Giles London,34,390.99,1,
18,address,"Zedwell Piccadilly Circus, Great Windmill Street, London, UK",United Kingdom,U9,edb82d6d-2d75-4e2f-beb9-7ec61ed01eef,Zedwell Piccadilly SSM,74,1660.84,,,,0,0,,
18,address,"Zedwell Piccadilly Circus, Great Windmill Street, London, UK",United Kingdom,U9,edb82d6d-2d75-4e2f-beb9-7ec61ed01eef,Zedwell Piccadilly SSM,74,1660.84,KG,ac809368-ea4c-43e1-a845-4889f56304b8,Zedwell Piccadilly SSM,2,20.62,1,
19,name+region,,United Kingdom,F4,aee8a278-9f97-45e6-84b2-b45658f76cbb,Ibis London Stratford,56,427.5,,,,0,0,,different addresses within name+region cluster
19,name+region,,United Kingdom,F4,aee8a278-9f97-45e6-84b2-b45658f76cbb,Ibis London Stratford,56,427.5,f4,0afe06a1-5e08-4f01-846b-c94b4d5b5add,Ibis London Stratford,0,0,1,
20,name+region,,United Kingdom,4T,794d804d-6490-4287-9a5f-a2036f589aed,Heathrow Terminal 4 b,3668,56453.29,,,,0,0,,
20,name+region,,United Kingdom,4T,794d804d-6490-4287-9a5f-a2036f589aed,Heathrow Terminal 4 b,3668,56453.29,T4,00ba366e-7a53-4fc4-bbf3-032190efbad5,Heathrow Terminal 4,2680,48367.69,0,
21,name+region,,United Kingdom,2M,744e382d-8c9f-4559-96b0-09f198bbdc38,T2 Mobile desk B,2142,51996.36,,,,0,0,,
21,name+region,,United Kingdom,2M,744e382d-8c9f-4559-96b0-09f198bbdc38,T2 Mobile desk B,2142,51996.36,M2,95fa739c-1d4c-4ecd-92a2-3e9882420936,T2 Mobile desk,2055,40067.66,0,
22,name+region,,United Kingdom,C1,afe15c7c-0f9d-4521-85f3-3342d4f57ef6,CBS OTH,1000,13539.62,,,,0,0,,
22,name+region,,United Kingdom,C1,afe15c7c-0f9d-4521-85f3-3342d4f57ef6,CBS OTH,1000,13539.62,C2,7de87861-d355-475e-bf40-952289a89b96,CBS OTH,639,8518.06,2,
22,name+region,,United Kingdom,C1,afe15c7c-0f9d-4521-85f3-3342d4f57ef6,CBS OTH,1000,13539.62,C3,a40f4331-bd85-4271-a7be-dd42add9083b,CBS OTH,112,1479.47,1,
